,Log10 INPs,Wind speed,Max gust direction,Max gust speed, Max Gust Ctime,Dry Bulb T,Dew Point T,Grass T,Concrete T,Soil T,Rainfall Total,Radiation Total,Humidity,rain_past_hour,APS Total,SMPS Total,3,4,log aps_1um,log aps,demott,meyers
Rainfall Total,-0.24466219823,-0.47872297151,-0.0847029431708,-0.428494152844,-0.0147909418647,-0.326758992288,0.0596347546708,-0.333249085864,-0.316955035343,-0.0827258938602,1.0,-0.120494664177,0.443680664674,0.663322564125,-0.0947704795578,0.0962628757657,,,-0.501353156918,-0.0434083742923,-0.0694165374478,4.37019151037e-17
Radiation Total,-0.105991259752,0.240329636024,-0.0667357725097,0.255183799006,0.575717336117,0.176024853528,-0.43315670205,0.347521977553,0.435576241688,0.517686667112,-0.120494664177,1.0,-0.701351860981,-0.355433581857,-0.313707807225,-0.219715751707,,,0.116297593165,-0.40610572587,-0.373910378162,2.48397794075e-16
Humidity,-0.0800157315951,-0.564810792681,0.189239214456,-0.501995215849,-0.124438258743,-0.402235311674,0.463993072944,-0.584704569915,-0.654018867259,-0.498005493625,0.443680664674,-0.701351860981,1.0,0.482683041865,0.31428116196,0.364877515297,,,-0.394999158157,0.384465955758,0.364894907166,4.18330524316e-16
rain_past_hour,-0.170096717998,-0.314400427111,0.0119582981188,-0.316652182869,-0.316229485513,-0.387784880041,0.0278623684795,-0.341319697739,-0.319726256294,-0.306239859734,0.663322564125,-0.355433581857,0.482683041865,1.0,0.00857349242719,0.138978825173,,,-0.448370537515,0.101543676879,0.0589256944422,-1.2325003581e-16
APS Total,0.0963039527706,-0.357017451497,0.255783962865,-0.459974965732,-0.0417046998281,-0.126332987013,0.147545861559,-0.163888757891,-0.168120001548,-0.234988158516,-0.0947704795578,-0.313707807225,0.31428116196,0.00857349242719,1.0,0.499031820549,,,0.370906277865,0.884250461356,0.969845458825,-2.81100815998e-16
SMPS Total,-0.110627533638,-0.0375465165034,0.0254259329059,-0.227290590234,-0.0212955590905,0.0432597923561,0.325419782528,-0.0645498649318,-0.105240805532,0.0920626480708,0.0962628757657,-0.219715751707,0.364877515297,0.138978825173,0.499031820549,1.0,,,0.392531157337,0.631210346164,0.588697965557,1.50941245458e-16
3,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,
log aps_1um,-0.0023150439663,0.246072604755,-0.353110071047,0.0573279532488,-0.0527772974154,0.359108779189,0.00890964090148,0.411135856835,0.399555282946,0.185083887008,-0.501353156918,0.116297593165,-0.394999158157,-0.448370537515,0.370906277865,0.392531157337,,,1.0,0.478476254463,0.43083978714,-3.69542319784e-16
log aps,-0.0213870628246,-0.386260242486,0.0836765476012,-0.506907257053,-0.103375650034,-0.0492833423791,0.280256467962,-0.123457501999,-0.149983664178,-0.215158676392,-0.0434083742923,-0.40610572587,0.384465955758,0.101543676879,0.884250461356,0.631210346164,,,0.478476254463,1.0,0.970217670125,2.10321129988e-16
demott,0.0464831280112,-0.380501163817,0.179393787705,-0.497069177511,-0.0769185304696,-0.0935900869441,0.221358991198,-0.150927391777,-0.164917863377,-0.229651003562,-0.0694165374478,-0.373910378162,0.364894907166,0.0589256944422,0.969845458825,0.588697965557,,,0.43083978714,0.970217670125,1.0,2.15371924169e-16
meyers,6.92190422132e-17,-2.95264196382e-16,-1.99425049413e-16,-2.79510124587e-16,1.76806731912e-15,-3.57504856741e-16,1.61091714592e-15,-3.12056050132e-16,-3.710140203e-16,-3.30263475404e-16,4.37019151037e-17,2.48397794075e-16,4.18330524316e-16,-1.2325003581e-16,-2.81100815998e-16,1.50941245458e-16,,,-3.69542319784e-16,2.10321129988e-16,2.15371924169e-16,1.0
